Date	Neutral	Negative	Positive
2012-08-31	26	3	4
2012-09-01	7	0	1
2012-09-02	6	4	2
2012-09-03	11	3	0
2012-09-04	27	2	8
2012-09-05	15	3	3
2012-09-06	20	7	21
2012-09-07	26	5	29
2012-09-08	5	1	4
2012-09-09	7	2	2
2012-09-10	26	4	5
2012-09-11	24	8	3
2012-09-12	26	12	4
2012-09-13	32	7	9
2012-09-14	37	3	7
2012-09-15	16	2	2
2012-09-16	27	0	0
2012-09-17	8	0	3
2012-09-18	42	0	1
2012-09-19	22	2	3
2012-09-20	45	5	10
2012-09-21	42	4	17
2012-09-22	17	0	1
2012-09-23	7	2	2
2012-09-24	63	10	65
2012-09-25	71	32	24
2012-09-26	55	20	17
2012-09-27	46	16	19
2012-09-28	26	6	9
2012-09-29	11	0	2
2012-09-30	16	1	0
2012-10-01	27	12	28
2012-10-02	31	10	17
2012-10-03	38	13	17
2012-10-04	32	14	16
2012-10-05	21	8	7
2012-10-06	3	0	0
2012-10-07	22	2	5
2012-10-08	44	7	13
2012-10-09	42	10	17
2012-10-10	38	5	8
2012-10-11	35	9	8
2012-10-12	27	18	3
2012-10-13	7	8	1
2012-10-14	14	2	1
2012-10-15	40	26	4
2012-10-16	36	9	8
2012-10-17	43	3	18
2012-10-18	95	123	20
2012-10-19	74	66	14
2012-10-20	19	8	3
2012-10-21	25	4	4
2012-10-22	49	11	10
2012-10-23	46	10	16
2012-10-24	28	9	3
2012-10-25	21	8	7
2012-10-26	28	12	3
2012-10-27	9	2	2
2012-10-28	6	0	2
2012-10-29	26	7	12
2012-10-30	25	5	4
2012-10-31	21	13	4
2012-11-01	34	9	6
2012-11-02	26	6	7
2012-11-03	9	2	1
2012-11-04	2	2	1
2012-11-05	54	8	4
2012-11-06	38	8	2
2012-11-07	29	4	6
2012-11-08	25	11	4
2012-11-09	19	9	5
2012-11-10	8	1	0
2012-11-11	6	2	3
2012-11-12	30	20	6
2012-11-13	29	4	5
2012-11-14	19	2	10
2012-11-15	23	7	3
2012-11-16	32	8	10
2012-11-17	11	0	1
2012-11-18	26	3	5
2012-11-19	21	8	10
2012-11-20	24	3	5
2012-11-21	16	5	3
2012-11-22	19	1	0
2012-11-23	16	1	1
2012-11-24	4	3	0
2012-11-25	15	1	4
2012-11-26	30	6	2
2012-11-27	33	8	14
2012-11-28	39	7	8
2012-11-29	26	5	5
2012-11-30	18	4	7
2012-12-01	7	0	4
2012-12-02	9	1	1
2012-12-03	16	5	3
2012-12-04	29	4	1
2012-12-05	24	0	2
2012-12-06	16	6	7
2012-12-07	33	7	2
2012-12-08	15	1	4
2012-12-09	14	2	1
2012-12-10	36	10	7
2012-12-11	39	8	7
2012-12-12	34	2	17
2012-12-13	53	6	31
2012-12-14	19	5	6
2012-12-15	8	3	2
2012-12-16	9	2	0
2012-12-17	36	3	14
2012-12-18	19	6	7
2012-12-19	22	5	5
2012-12-20	14	4	4
2012-12-21	13	1	2
2012-12-22	10	0	4
2012-12-23	11	0	1
2012-12-24	14	1	2
2012-12-25	6	0	2
2012-12-26	21	1	1
2012-12-27	13	3	4
2012-12-28	11	4	1
2012-12-29	9	3	0
2012-12-30	4	1	0
2012-12-31	10	2	5
